Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
1993-01-29,24.469904286423922,24.469904286423922,24.34816346907853,24.452512741088867,1003200,0.0,0.0,0.0
1993-02-01,24.469904693506532,24.626428604125977,24.469904693506532,24.626428604125977,480500,0.0,0.0,0.0
1993-02-02,24.609047450844546,24.696005215688523,24.55687279193816,24.678613662719727,201300,0.0,0.0,0.0
1993-02-03,24.71338592380327,24.956867558520543,24.69599437846632,24.939476013183594,529400,0.0,0.0,0.0
1993-02-04,25.02644122838974,25.096007430553435,24.748176419734953,25.043832778930664,531500,0.0,0.0,0.0
1993-02-05,25.026445388793945,25.07862004909025,24.887312961337134,25.026445388793945,492100,0.0,0.0,0.0
1993-02-08,25.026445388793945,25.11340315595445,24.99166228192974,25.026445388793945,596100,0.0,0.0,0.0
1993-02-09,24.93947963567778,24.93947963567778,24.800347252773022,24.852521896362305,122100,0.0,0.0,0.0
1993-02-10,24.85252311594581,24.904697762095452,24.78295692107962,24.887306213378906,379600,0.0,0.0,0.0
1993-02-11,24.92209071343731,25.113397760086166,24.92209071343731,25.009048461914062,19500,0.0,0.0,0.0
1993-02-12,24.974265341167275,24.974265341167275,24.817741394042965,24.81774139404297,42500,0.0,0.0,0.0
1993-02-16,24.74816448066322,24.74816448066322,24.156852047534233,24.191635131835938,374800,0.0,0.0,0.0
1993-02-17,24.19164501299961,24.226428111508596,24.087295717472653,24.174253463745117,210900,0.0,0.0,0.0
1993-02-18,24.45251666976017,24.45251666976017,23.82642093710628,24.1568603515625,378100,0.0,0.0,0.0
1993-02-19,24.15686434276477,24.24382209777832,24.12208124075935,24.24382209777832,34900,0.0,0.0,0.0
1993-02-22,24.313394196123802,24.36556886178072,24.24382797524791,24.330785751342773,513600,0.0,0.0,0.0
1993-02-23,24.400333182153442,24.41772472397964,24.191634680239087,24.31337547302246,373700,0.0,0.0,0.0
1993-02-24,24.33077232851147,24.626428604125977,24.33077232851147,24.626428604125977,26300,0.0,0.0,0.0
1993-02-25,24.609047450844546,24.696005215688523,24.55687279193816,24.678613662719727,44500,0.0,0.0,0.0
1993-02-26,24.73077235533938,24.73077235533938,24.59164002141342,24.713380813598633,66200,0.0,0.0,0.0
1993-03-01,24.80035331473017,24.80035331473017,24.60904624147489,24.643829345703125,66500,0.0,0.0,0.0
1993-03-02,24.661217468007052,25.009048461914062,24.62643436861635,25.009048461914062,182400,0.0,0.0,0.0
1993-03-03,25.04382379167298,25.130781513171843,25.009040703073435,25.11338996887207,280100,0.0,0.0,0.0
1993-03-04,25.148185395264694,25.148185395264694,24.97426986694336,24.97426986694336,89500,0.0,0.0,0.0
1993-03-05,25.009040963050374,25.113390229933756,24.88730015168643,24.904691696166992,40000,0.0,0.0,0.0
1993-03-08,24.956866893611974,25.46122169494629,24.956866893611974,25.46122169494629,50800,0.0,0.0,0.0
1993-03-09,25.409044942927736,25.426436486352053,25.32208722580615,25.3742618560791,169300,0.0,0.0,0.0
1993-03-10,25.37427035956637,25.42644500732422,25.269921064050674,25.42644500732422,194400,0.0,0.0,0.0
1993-03-11,25.44384176675511,25.513407978010765,25.32210089705772,25.356884002685547,70900,0.0,0.0,0.0
1993-03-12,25.148186776841253,25.165578330628836,24.93948813139029,25.096012115478516,643600,0.0,0.0,0.0
1993-03-15,25.07861054519127,25.217742919921875,25.07861054519127,25.217742919921875,310800,0.0,0.0,0.0
1993-03-16,25.217742919921875,25.287309107287175,25.217742919921875,25.217742919921875,30800,0.0,0.0,0.0
1993-03-17,25.182964835871765,25.182964835871765,25.026440883162618,25.06122398376465,21800,0.0,0.0,0.0
1993-03-18,25.1655682793979,25.322092200969827,25.1655682793979,25.217742919921875,59300,0.0,0.0,0.0
1993-03-19,25.319368253889223,25.319368253889223,25.17957878112793,25.17957878112793,66900,0.213,0.0,0.0
1993-03-22,24.93495089443763,25.092214074570734,24.917477207756175,25.039793014526367,183400,0.0,0.0,0.0
1993-03-23,25.109682545356428,25.127156228408175,25.057261496201196,25.092208862304688,55200,0.0,0.0,0.0
1993-03-24,25.057261496201196,25.19705096061515,24.93494571483899,25.092208862304688,37200,0.0,0.0,0.0
1993-03-25,25.109695479449105,25.301906092026655,25.074748095344095,25.24948501586914,110100,0.0,0.0,0.0
1993-03-26,25.23201894527852,25.249492642609045,25.092229366634317,25.109703063964844,101500,0.0,0.0,0.0
1993-03-29,25.12717581290961,25.336860172961703,25.12717581290961,25.21454429626465,87100,0.0,0.0,0.0
1993-03-30,25.249466932305978,25.284414291381836,25.214519573230124,25.284414291381836,56000,0.0,0.0,0.0
1993-03-31,25.354332437159115,25.42422721989422,25.266963958740234,25.266963958740234,111600,0.0,0.0,0.0
1993-04-01,25.30189456979406,25.30189456979406,25.127157728842448,25.17957878112793,129500,0.0,0.0,0.0
1993-04-02,24.969902852340258,24.969902852340258,24.655376434326172,24.655376434326172,59400,0.0,0.0,0.0
1993-04-05,24.84757799221195,24.84757799221195,24.707788523901336,24.77768325805664,172200,0.0,0.0,0.0
1993-04-06,24.830108085481246,24.830108085481246,24.637897537317773,24.707792282104492,129700,0.0,0.0,0.0
1993-04-07,24.74274113919216,24.795162200927734,24.69032007745658,24.795162200927734,28000,0.0,0.0,0.0
1993-04-08,24.900005262505445,24.900005262505445,24.655373631856268,24.760215759277344,180800,0.0,0.0,0.0
1993-04-12,25.004860879981692,25.127176761295367,24.969913485320642,25.109703063964844,348500,0.0,0.0,0.0
1993-04-13,25.092207018534342,25.249470154444378,25.07473333676656,25.16210174560547,146100,0.0,0.0,0.0
1993-04-14,25.179591641804105,25.197065334824096,25.10969686972415,25.12717056274414,119600,0.0,0.0,0.0
1993-04-15,25.10969686972415,25.179591641804105,25.022328404624208,25.12717056274414,148600,0.0,0.0,0.0
1993-04-16,25.144644255764128,25.179591641804105,25.092223176704163,25.12717056274414,47900,0.0,0.0,0.0
1993-04-19,25.1271485083596,25.197043219092173,25.0048327645776,25.022306442260742,157000,0.0,0.0,0.0
1993-04-20,24.98736612420333,25.022313489412007,24.7427345677426,24.89999771118164,279500,0.0,0.0,0.0
1993-04-21,24.952423047483638,24.952423047483638,24.812633562623787,24.88252830505371,67900,0.0,0.0,0.0
1993-04-22,24.777692705265657,24.987376987679756,24.568008422851562,24.568008422851562,97700,0.0,0.0,0.0
1993-04-23,24.515580617359706,24.585475358963013,24.428212190355573,24.463159561157227,106000,0.0,0.0,0.0
1993-04-26,24.480636477212926,24.568004915746876,24.201057473904285,24.270952224731445,62600,0.0,0.0,0.0
1993-04-27,24.23599981514477,24.533052444458008,24.23599981514477,24.533052444458008,156800,0.0,0.0,0.0
1993-04-28,24.498096923501382,24.550517958287763,24.445675888715,24.480623245239258,85900,0.0,0.0,0.0
1993-04-29,24.533066283919407,24.585487365722656,24.393276732444082,24.585487365722656,85000,0.0,0.0,0.0
1993-04-30,24.672841507293725,24.7602099262289,24.620420455932617,24.620420455932617,88500,0.0,0.0,0.0
1993-05-03,24.655367473284855,24.777683258056644,24.550525372051894,24.77768325805664,80500,0.0,0.0,0.0
1993-05-04,24.83010580769242,24.952421599848538,24.795158438504956,24.865053176879883,149100,0.0,0.0,0.0
1993-05-05,24.86504942500349,25.02231256261771,24.86504942500349,24.93494415283203,109000,0.0,0.0,0.0
1993-05-06,24.900001010814293,24.917474695734164,24.830106271134817,24.847579956054688,54700,0.0,0.0,0.0
1993-05-07,24.865056949908503,24.865056949908503,24.76021482643735,24.795162200927734,68000,0.0,0.0,0.0
1993-05-10,24.830106271134817,24.987369435413644,24.830106271134817,24.847579956054688,113900,0.0,0.0,0.0
1993-05-11,24.84759237786301,24.952434539794922,24.777697603241734,24.952434539794922,42600,0.0,0.0,0.0
1993-05-12,24.84758571287693,24.93495415771827,24.84758571287693,24.91748046875,31000,0.0,0.0,0.0
1993-05-13,24.812630977590004,24.812630977590004,24.602946772145582,24.620420455932617,129100,0.0,0.0,0.0
1993-05-14,24.620424736629833,24.690319483930413,24.585477362979542,24.602951049804688,63500,0.0,0.0,0.0
1993-05-17,24.67283203276184,24.690305709838867,24.567989970299678,24.690305709838867,34000,0.0,0.0,0.0
1993-05-18,24.707785573964756,24.725259255417345,24.585469803796613,24.67283821105957,105200,0.0,0.0,0.0
